Comentario,Avaliacao,Sentimento
"Produto veio como descrito, qualidade ok.",3,Neutro
Ótimo acabamento e qualidade.,5,Positivo
Ótimo acabamento e qualidade.,5,Positivo
"Completamente satisfeito, voltarei a comprar.",5,Positivo
Não valeu o preço pago.,1,Negativo
"Completamente insatisfeito, não volto a comprar.",1,Negativo
"Muito ruim, devolvi o produto.",2,Negativo
"O produto é razoável, cumpre o que promete.",3,Neutro
"Produto danificado, atendimento ruim.",2,Negativo
"Produto de baixa qualidade, não recomendo.",1,Negativo
"Muito ruim, devolvi o produto.",1,Negativo
"Produto de baixa qualidade, não recomendo.",1,Negativo
"Excelente custo-benefício, recomendo!",5,Positivo
Entrega muito lenta.,1,Negativo
"Produto de baixa qualidade, não recomendo.",2,Negativo
"Produto danificado, atendimento ruim.",1,Negativo
"Recebi o que foi prometido, nada além disso.",3,Neutro
"Muito ruim, devolvi o produto.",2,Negativo
"Esperava mais, não correspondeu às expectativas.",1,Negativo
"Produto de baixa qualidade, não recomendo.",1,Negativo
Entrega muito lenta.,1,Negativo
"Recebi o que foi anunciado, sem surpresas.",3,Neutro
Não valeu o preço pago.,1,Negativo
"Recebi o que foi anunciado, sem surpresas.",3,Neutro
"Serviço péssimo, atendimento horrível.",2,Negativo
"Muito ruim, devolvi o produto.",1,Negativo
"Muito ruim, devolvi o produto.",1,Negativo
"Produto funcional, atende bem.",3,Neutro
"Muito feliz com a compra, recomendo!",4,Positivo
"Produto de baixa qualidade, não recomendo.",1,Negativo
Atendeu bem ao propósito.,3,Neutro
"Produto danificado, atendimento ruim.",2,Negativo
Entrega muito lenta.,2,Negativo
"Produto danificado, atendimento ruim.",1,Negativo
"A qualidade é muito ruim, não recomendo.",1,Negativo
"Produto funcional, atende bem.",3,Neutro
Bom custo-benefício.,3,Neutro
Preço justo para a qualidade.,3,Neutro
"Esperava mais, não correspondeu às expectativas.",1,Negativo
"Produto excelente, recomendo sem dúvidas.",4,Positivo
Entrega muito lenta.,1,Negativo
"Excelente custo-benefício, recomendo!",4,Positivo
"O atendimento foi ótimo, recomendo.",5,Positivo
"Muito feliz com a compra, recomendo!",4,Positivo
"Serviço péssimo, atendimento horrível.",2,Negativo
"Esperava mais, não correspondeu às expectativas.",1,Negativo
Atendeu bem ao propósito.,3,Neutro
"Altamente recomendável, qualidade excepcional.",4,Positivo
"Produto excelente, recomendo sem dúvidas.",5,Positivo
"Serviço péssimo, atendimento horrível.",1,Negativo
"A qualidade é muito ruim, não recomendo.",2,Negativo
"Esperava mais, não correspondeu às expectativas.",2,Negativo
"Serviço péssimo, atendimento horrível.",2,Negativo
"O atendimento foi ótimo, recomendo.",5,Positivo
"Recebi o que foi prometido, nada além disso.",3,Neutro
Ótimo acabamento e qualidade.,4,Positivo
"Produto excelente, chegou antes do prazo!",4,Positivo
Entrega muito lenta.,2,Negativo
"A qualidade é muito ruim, não recomendo.",2,Negativo
Entrega muito lenta.,2,Negativo
"Entrega rápida, mas o produto é mediano.",3,Neutro
"Altamente recomendável, qualidade excepcional.",5,Positivo
Não valeu o preço pago.,1,Negativo
"Produto funcional, atende bem.",3,Neutro
"Completamente insatisfeito, não volto a comprar.",2,Negativo
Bom custo-benefício.,3,Neutro
Atendeu bem ao propósito.,3,Neutro
"Excelente custo-benefício, recomendo!",4,Positivo
"Serviço péssimo, atendimento horrível.",2,Negativo
"Demorou para chegar, mas é bom.",3,Neutro
"Recebi o que foi anunciado, sem surpresas.",3,Neutro
Bom custo-benefício.,3,Neutro
Bom custo-benefício.,3,Neutro
"Produto de baixa qualidade, não recomendo.",1,Negativo
"Produto veio como descrito, qualidade ok.",3,Neutro
"Serviço péssimo, atendimento horrível.",2,Negativo
"Muito feliz com a compra, recomendo!",4,Positivo
"Serviço péssimo, atendimento horrível.",2,Negativo
"O produto é razoável, cumpre o que promete.",3,Neutro
"O atendimento foi ótimo, recomendo.",4,Positivo
